ID,movie_name,year,Timing(min),Rating(10),Votes,Genre,Language
tt8793888,patukunte padivelu,1967.0,145 min,-,-,Drama            ,telugu
tt4614164,radha ghelo kan,1991.0,-,-,-,Drama            ,gujarati
tt1569529,"u, bomsi n me",2005.0,-,7.4,13,Comedy            ,hindi
tt10895802,les larmes noires,2015.0,127 min,-,-,Documentary            ,urdu
tt0247946,baeelveda,1979.0,-,-,-,-,marathi
tt10852008,balakot: the true story,2020.0,-,-,-,Action            ,hindi
tt5426752,maan marjada,1991.0,137 min,-,-,Drama            ,bengali
tt0242519,hera pheri,2000.0,156 min,8.2,"58,037","Action, Comedy, Crime            ",hindi
tt0323755,raagangal maruvathillai,1983.0,-,7.2,5,-,tamil
tt7162396,putra badhu,1998.0,-,-,-,Drama            ,bengali
tt14344696,naik parveen,1975.0,-,-,-,-,urdu
tt4219300,gollu aur pappu,2014.0,112 min,3.7,101,Comedy            ,hindi
tt14218668,shivani,2000.0,-,-,-,Crime            ,hindi
tt10152214,heer maan ja,2019.0,146 min,5.2,187,"Action, Comedy, Family            ",punjabi
tt0213929,nayakudu vinayakudu,1980.0,-,6.0,6,-,telugu
tt1774473,love you to death,2012.0,102 min,5.3,7,"Comedy, Thriller            ",hindi
tt0231204,awara badal,1964.0,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri
tt6555524,gharer bou,1990.0,121 min,-,-,Drama            ,bengali
tt0237095,chief sahib,1996.0,-,5.0,37,"Action, Comedy, Romance            ",urdu
tt6355584,revelations,2016.0,118 min,7.3,135,Drama            ,tamil
tt8698288,murder,1994.0,101 min,-,-,"Crime, Drama, Mystery            ",kannada
tt0351120,ivide ingane,1984.0,101 min,-,-,"Action, Drama            ",malayalam
tt3376048,porter ponnusami,1979.0,-,-,-,-,tamil
tt9849992,amar premi sheni vijanand,1974.0,-,-,-,Drama            ,gujarati
tt1905076,tum hi to ho...,2011.0,-,3.9,10,"Drama, Mystery, Thriller            ",hindi
tt0261567,bilhana,1948.0,-,-,-,-,tamil
tt1334254,maharathi,2008.0,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi
tt13451520,adyathe maravi,2019.0,14 min,-,-,"Short, Thriller            ",malayalam
tt1645083,hum ek hain,1961.0,-,-,-,Drama            ,urdu
tt0334187,puzha,1980.0,-,-,-,-,malayalam
tt13821112,common opinion,2016.0,10 min,-,-,"Documentary, Short            ",urdu
tt0290258,paandav,1995.0,132 min,4.1,533,"Action, Drama            ",hindi
tt0322943,khaidi,1987.0,-,-,-,-,telugu
tt0029518,savitri,1937.0,136 min,-,-,Fantasy            ,hindi
tt1830782,raam,2009.0,149 min,6.6,136,"Comedy, Drama            ",kannada
tt4540998,police lock up,1992.0,-,-,-,Action            ,hindi
tt1954206,the dirty picture,2011.0,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil
tt0158711,kurbani,1943.0,-,6.6,5,-,hindi
tt13595374,nepal first jagad guru - yogiraj swami documentary,2020.0,-,-,-,Documentary            ,nepali
tt8447590,lawaris: karachi's unknown dead,2019.0,-,-,-,"Documentary, Short            ",urdu
tt11203758,rakhewal,2019.0,130 min,-,-,Drama            ,gujarati
tt14142936,kanasu maratakkide,2021.0,132 min,-,-,Drama            ,kannada
tt0232291,pati patni aur tawaif,1990.0,-,4.3,40,"Drama, Family            ",hindi
-,777 charlie,2000.0,136 min,-,-,"Adventure, Comedy, Drama            ",tamil
tt10305296,dholo mara malak no,1998.0,-,-,-,Drama            ,gujarati
tt0317973,pambaram,1979.0,-,-,-,-,malayalam
-,raj shahenshah,2000.0,122 min,-,-,Drama            ,bhojpuri
-,love you dhaka,2000.0,-,-,-,Drama            ,bengali
tt9602804,the last color,2019.0,90 min,7.7,740,Drama            ,hindi
tt0229966,aji bas shukriya,1958.0,-,6.2,10,"Comedy, Drama, Musical            ",hindi
-,avatar purusha,2000.0,-,-,-,Comedy            ,kannada
tt0157526,delhi durbar,1956.0,-,-,-,-,hindi
tt0231261,bhartruhari,1932.0,-,-,-,Fantasy            ,hindi
tt5310562,teer,1954.0,-,-,-,Drama            ,hindi
tt13070794,eppothum vendran,2014.0,138 min,-,-,Drama            ,tamil
-,rubik's cube,2000.0,134 min,-,-,Drama            ,marathi
tt2742176,prem paigham,1989.0,-,-,-,Romance            ,hindi
tt0117672,smuggler,1996.0,-,4.4,17,"Action, Crime            ",hindi
tt1615070,sheikh chilli,1958.0,-,-,-,Comedy            ,punjabi
tt11323086,sasi lalitha,2020.0,-,-,-,Drama            ,telugu
