movie_id,movie_name,year,genre,overview,director,cast
tt10305616,malaal,2019.0,"Action, Drama, Romance","Malaal is the story of Shiva and Astha, two very different people from contrasting backgrounds who experience the innocence of love. Does their love find its destination or do they part ways? Stay on this journey to find out.",Mangesh Hadawale,"Meezaan Jafri, Sharmin Segal, Chinmayee Surve, Anil Gawas"
tt8705332,match of life,2022.0,Comedy,"Match of Life"" is based on a cricketer's life who looks like Virat Kohli and what circumstances he faces in day-to-day life being a normal person with a celebrity face.",Aman Sagar,"Rajpal Naurang Yadav, Sudha Chandran, Pankaj Berry, Supriya Karnik"
tt7647774,ek betuke aadmi ki afrah raatein,2023.0,Drama,Add a Plot,Sharad Raj,"Pawan Chakravarti, Archanna Guptaa, Adil Hussain, Raghav Jhingran"
tt1714832,do dooni chaar,2010.0,"Comedy, Crime, Drama",A middle class family in India tries to buy a new car.,Habib Faisal,"Rishi Kapoor, Neetu Singh, Aditi Vasudev, Archit Krishna"
tt0172175,bhabhi,1991.0,"Comedy, Drama, Family","Sita lives a middle-class lifestyle with her retired and widowed schoolmaster dad, Ramdas. One day she is molested by Prakash and slaps him. A few days later, wealthy Ghanshyamdas, a former...                See full summary »",Kishore Vyas,"Bhanupriya, Govinda, Juhi Chawla, Gulshan Grover"
tt0247944,badal,2000.0,"Action, Crime, Drama","Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP....                See full summary »",Raj Kanwar,"Bobby Deol, Rani Mukerji, Mayuri Kango, Ashutosh Rana"
tt3807778,badla sherni ka,2001.0,Action,"Jungle woman Sherni objects when greedy hunters invade the forest, killing the animals for their tusks and hides.",Kanti Shah,"Sapna Sappu, Amit Pachori, Junior Johnny Lever, Anil Nagrath"
tt27613132,awara pagal deewana 2,2012.0, ,"After faking his death, former killer-for-hire Guru Gulab Khatri retires to Maldives with his new wife, Tina, while his ex-wife, Preeti, settles down in California with Anmol. The peaceful lives of both couples are interrupted by a mafia.",Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Dalip Singh"
tt10318332,badnaam gali,2019.0,Comedy,"It encompasses the journey of a surrogate mother, played by Patralekhaa, and her dynamic relationship with people around her.",Ashwin Shetty,"Patralekhaa Paul, Divyendu Sharma, Dolly Ahluwalia, Paritosh Sand"
tt2199711,vishwaroopam,2013.0,"Action, Thriller","When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",Kamal Haasan,"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose"
